id,genres
135397,Science Fiction
135397,Adventure
135397,Action
135397,Thriller
76341,Science Fiction
76341,Adventure
76341,Action
76341,Thriller
262500,Thriller
262500,Science Fiction
262500,Adventure
140607,Science Fiction
140607,Adventure
140607,Action
140607,Fantasy
168259,Thriller
168259,Crime
168259,Action
281957,Adventure
281957,Drama
281957,Western
281957,Thriller
87101,Thriller
87101,Action
87101,Science Fiction
87101,Adventure
286217,Science Fiction
286217,Adventure
286217,Drama
211672,Adventure
211672,Animation
211672,Family
211672,Comedy
150540,Family
150540,Animation
150540,Comedy
206647,Crime
206647,Adventure
206647,Action
76757,Action
76757,Fantasy
76757,Science Fiction
76757,Adventure
264660,Science Fiction
264660,Drama
257344,Science Fiction
257344,Comedy
257344,Action
99861,Science Fiction
99861,Adventure
99861,Action
273248,Mystery
273248,Drama
273248,Crime
273248,Western
260346,Thriller
260346,Action
260346,Crime
102899,Adventure
102899,Action
102899,Science Fiction
150689,Family
150689,Fantasy
150689,Romance
150689,Drama
131634,Science Fiction
131634,Adventure
131634,War
158852,Science Fiction
158852,Mystery
158852,Family
158852,Action
158852,Adventure
307081,Drama
307081,Action
254128,Thriller
254128,Drama
254128,Action
216015,Romance
216015,Drama
318846,Drama
318846,Comedy
177677,Action
214756,Comedy
207703,Action
207703,Comedy
207703,Crime
207703,Adventure
314365,History
314365,Thriller
314365,Drama
294254,Thriller
294254,Science Fiction
294254,Action
280996,Drama
280996,Mystery
198184,Science Fiction
198184,Action
198184,Crime
254470,Music
254470,Comedy
296098,Drama
296098,Thriller
257445,Comedy
257445,Horror
257445,Adventure
264644,Thriller
264644,Drama
339527,Mystery
339527,Drama
339527,Crime
105864,Comedy
105864,Fantasy
105864,Animation
105864,Adventure
105864,Family
241554,Drama
241554,Thriller
241554,Crime
241554,Action
241554,Mystery
167073,Romance
167073,Drama
277216,Music
277216,Drama
274854,Adventure
274854,Action
274854,Fantasy
321697,Drama
321697,History
203801,Adventure
203801,Action
203801,Comedy
293863,Romance
293863,Drama
293863,Fantasy
325348,Science Fiction
325348,Adventure
325348,Action
228161,Animation
228161,Family
228161,Comedy
228161,Fantasy
228161,Science Fiction
286565,Romance
286565,Mystery
286565,Drama
265208,Drama
265208,Crime
265208,Thriller
254320,Drama
254320,Science Fiction
254320,Comedy
254320,Thriller
254320,Romance
258480,Drama
258480,Romance
257211,Comedy
253412,Drama
253412,Adventure
274479,Drama
274479,Comedy
257088,Thriller
257088,Crime
257088,Action
295964,Drama
238615,Thriller
238615,Mystery
238615,Science Fiction
210860,Adventure
210860,Comedy
306819,Drama
201088,Action
201088,Drama
201088,Crime
201088,Mystery
201088,Thriller
273481,Drama
273481,Thriller
273481,Crime
273481,Action
273481,Mystery
166424,Science Fiction
166424,Adventure
166424,Action
310131,Horror
310131,Mystery
238713,Crime
238713,Comedy
238713,Action
256591,Crime
256591,Comedy
256591,Romance
256591,Drama
249070,Thriller
249070,Crime
249070,Action
205775,Adventure
205775,History
205775,Drama
205775,Thriller
205775,Action
334074,Action
334074,Thriller
334074,Crime
312221,Drama
271718,Comedy
333352,War
333352,Thriller
333352,Drama
276907,Thriller
276907,Crime
284289,Thriller
266647,Fantasy
266647,Family
266647,Adventure
347096,Fantasy
347096,Adventure
347096,Action
308369,Drama
308369,Comedy
227973,Comedy
227973,Animation
227973,Adventure
227973,Family
321741,Drama
296100,Comedy
263472,Thriller
263472,Horror
263472,Drama
228205,Drama
228205,Romance
159824,Family
159824,Comedy
159824,Animation
333348,Comedy
333348,Family
285783,Thriller
285783,Drama
285783,Adventure
290764,Drama
290764,Crime
290764,Action
296099,Comedy
296099,Adventure
243688,Thriller
243688,Horror
287424,Horror
301875,Science Fiction
301875,Romance
301875,Drama
181283,Thriller
181283,Crime
328425,Mystery
328425,Thriller
274167,Comedy
370687,Adventure
370687,Action
370687,Fantasy
307663,Action
307663,Science Fiction
307663,Thriller
307663,Adventure
309809,Fantasy
309809,Animation
309809,Adventure
258509,Comedy
258509,Animation
258509,Adventure
258509,Family
298382,Drama
272693,Comedy
272693,Romance
283445,Horror
256961,Comedy
256961,Adventure
256961,Action
256961,Family
326359,Family
326359,Animation
326359,Adventure
254302,Science Fiction
254302,Drama
254302,Action
241251,Thriller
292040,Action
292040,Thriller
188222,Comedy
252838,Comedy
273477,Horror
273477,Comedy
298312,Thriller
298312,Horror
261023,Drama
261023,Crime
336004,Thriller
336004,Action
336004,Crime
287903,Fantasy
287903,Comedy
287903,Horror
182560,Thriller
182560,Mystery
182560,Drama
192141,Thriller
192141,Action
308639,Comedy
308639,Drama
308639,Crime
261392,Action
261392,Comedy
304357,Drama
297291,Adventure
297291,Fantasy
297291,Action
266294,Comedy
227719,Thriller
227719,Science Fiction
86828,Science Fiction
86828,Comedy
287948,Crime
287948,Action
287948,Thriller
201085,Fantasy
201085,Drama
201085,Thriller
201085,Mystery
201085,Horror
277355,Action
277355,Thriller
264999,Music
264999,Drama
264999,Comedy
146301,Thriller
146301,Horror
223485,Western
223485,Thriller
223485,Romance
294016,Drama
290751,Mystery
290751,Drama
290751,Crime
309245,Comedy
228165,Animation
228165,Family
245706,Mystery
245706,Drama
245706,Crime
272878,Family
272878,Drama
272878,Adventure
263109,Comedy
263109,Animation
263109,Family
263109,Adventure
157827,Drama
321751,Drama
321751,Comedy
266396,Crime
266396,Drama
266396,Action
277685,Thriller
277685,Horror
268920,Comedy
268920,Crime
268920,Action
280092,Thriller
280092,Horror
280092,Drama
193687,Thriller
193687,Science Fiction
193687,Drama
300803,Fantasy
300803,Adventure
300803,Action
328589,Drama
328589,Comedy
228066,Thriller
228066,Science Fiction
228066,Drama
378373,Family
378373,Drama
378373,Adventure
291270,Drama
291270,Comedy
291270,Animation
291270,Romance
294963,Adventure
294963,Western
294963,Horror
294963,Drama
241257,Thriller
241257,Mystery
241257,Horror
245698,Drama
353326,Drama
346808,Action
346808,Thriller
250124,Romance
250124,Drama
290637,Thriller
290637,Horror
244458,Comedy
244458,Thriller
244458,Horror
244458,Crime
308504,Adventure
308504,Action
314405,Horror
314405,Fantasy
314405,Romance
282984,Drama
282984,Mystery
157843,History
157843,Drama
275601,Music
275601,Drama
275601,Comedy
290762,Romance
290762,Drama
290762,Comedy
251516,Science Fiction
251516,Comedy
251516,Action
251516,Fantasy
304372,Thriller
304372,Drama
324807,Mystery
324807,Drama
324807,Crime
324807,Thriller
252512,Comedy
252512,Drama
257091,Comedy
228968,Crime
228968,Action
228968,Drama
228968,Thriller
347969,Western
347969,Comedy
237756,Thriller
237756,Comedy
293646,Drama
293646,History
245168,History
245168,Drama
311291,Drama
301351,Romance
301351,Music
301351,Drama
248574,Comedy
248574,Action
248574,Adventure
225728,War
225728,Drama
225728,History
326425,Thriller
326425,Action
342474,Drama
342474,Comedy
277217,Adventure
277217,Family
277217,Action
277217,Music
277217,Comedy
207936,Comedy
207936,Romance
207936,Music
250734,Drama
250734,Romance
249688,Drama
268238,Comedy
268238,Drama
256962,War
256962,Drama
256962,Comedy
322456,Animation
322456,Adventure
322456,Action
322456,Family
302528,Thriller
302528,Drama
222936,Romance
222936,Comedy
222936,Adventure
316002,Comedy
316002,Romance
365806,Science Fiction
365806,Animation
365806,Action
10317,Comedy
10317,Drama
334538,Science Fiction
334538,Drama
306947,Thriller
328901,Drama
382517,Family
382517,Comedy
382517,Animation
382517,Adventure
310133,Thriller
237584,Thriller
288036,Comedy
354110,Drama
354110,Western
331781,Music
331781,Documentary
253161,Drama
312831,Horror
312831,Fantasy
316322,Animation
316322,Family
301846,Horror
306745,Drama
306745,Romance
332340,Comedy
332340,Romance
292431,Romance
292431,Drama
300693,Drama
333381,Thriller
256924,Music
256924,Drama
256924,Comedy
253414,War
253414,Music
253414,Comedy
254172,Drama
320588,Romance
320588,Drama
320588,Comedy
157544,Horror
157544,Thriller
283235,Drama
243938,Comedy
86835,Drama
86835,Romance
254905,Drama
309242,Drama
332502,Thriller
332502,Science Fiction
332502,Mystery
286192,Family
286192,Music
286192,Comedy
286192,Animation
286192,Fantasy
284674,Science Fiction
284674,Thriller
360055,Action
352179,Thriller
352179,Drama
246127,Drama
338676,Science Fiction
338676,Horror
338676,Drama
330982,Horror
330982,Drama
330982,Mystery
232572,Comedy
232572,Adventure
232572,Drama
112454,Horror
243940,Horror
243940,Thriller
321528,Animation
321528,Adventure
321528,Action
317744,Thriller
300792,Documentary
300792,Adventure
239573,Comedy
167810,Thriller
167810,Fantasy
319075,Documentary
319075,Music
316042,Drama
316042,War
334527,Drama
334527,Crime
334527,Thriller
300153,Drama
228203,Drama
332704,Mystery
332704,Horror
278236,Drama
276839,Comedy
276839,Drama
326215,Comedy
326215,Adventure
326215,Animation
363689,Horror
363689,Thriller
318256,Documentary
299245,Thriller
299245,Horror
333344,Comedy
333344,Drama
357096,Thriller
357096,Horror
309299,Drama
309299,History
314385,Romance
314385,Drama
333596,Drama
361042,TV Movie
361042,Horror
353686,Horror
353686,Thriller
318954,Action
289191,Thriller
289191,Drama
324333,Drama
324333,Crime
252164,Thriller
252164,Drama
360784,Horror
360784,Thriller
336313,Animation
336313,Comedy
336313,Fantasy
240483,Action
240483,Science Fiction
240483,Adventure
321494,Action
353595,Animation
353595,Adventure
353595,Action
353595,Family
360603,TV Movie
264337,Family
264337,Drama
264337,Action
289716,Drama
296065,Thriller
296065,Horror
337029,Thriller
337029,Horror
317952,Documentary
317952,Drama
325358,Comedy
272548,Comedy
340275,Crime
340275,Drama
340275,Music
340275,Comedy
309887,Action
309887,Comedy
302429,Family
302429,Animation
302429,Music
302429,Fantasy
253331,Drama
293771,Science Fiction
293771,Horror
323373,Horror
323373,Comedy
323027,Fantasy
323027,Animation
323027,Action
297806,Music
297806,Drama
253626,Thriller
253626,Drama
253626,Action
354251,Horror
354251,Thriller
354251,Fantasy
354251,Science Fiction
329637,Adventure
329637,Science Fiction
329637,Action
329637,Fantasy
257444,Horror
257444,Drama
257444,Thriller
355338,Family
355338,Animation
271736,Drama
309581,Drama
309581,Thriller
293970,Comedy
293970,Horror
279690,Comedy
279690,Horror
279690,Thriller
279690,Drama
364067,Music
364067,Comedy
318922,Crime
318922,Comedy
318922,Thriller
335077,Action
335077,Science Fiction
335077,Family
335077,Adventure
266639,Adventure
266639,Music
266639,Drama
266639,Fantasy
274504,Drama
274504,Action
274504,Thriller
244316,Thriller
244316,Horror
244316,Action
352208,Documentary
283587,War
283587,Drama
311539,Horror
277713,Drama
347945,Science Fiction
347945,Mystery
347945,Thriller
363483,TV Movie
363483,Family
344854,Horror
344854,Thriller
234212,Horror
234212,Thriller
354220,Thriller
354220,Horror
354220,Crime
283596,Comedy
283596,Drama
283596,Thriller
250225,Drama
307479,Action
307479,Thriller
339145,Drama
323660,Adventure
323660,Action
323660,Fantasy
308638,Comedy
308638,Drama
359983,Animation
359983,TV Movie
359983,Family
300155,Drama
300155,Romance
300155,Thriller
328595,Action
328595,Science Fiction
327528,Music
327528,Drama
329540,Action
329540,Thriller
306964,Horror
360387,Action
360387,Adventure
362185,Drama
362185,Action
362185,Thriller
94365,Horror
241855,Science Fiction
241855,Romance
241855,Horror
322518,Thriller
291272,Horror
324963,Fantasy
324963,Family
324963,Animation
342927,Horror
342927,Action
342927,Science Fiction
361159,Action
361159,Horror
365805,Horror
365805,Action
365805,Thriller
351964,Romance
351964,Comedy
362057,Thriller
